1	11/03/1996	41	05	04	52	30	33	0,00	0	 	 	0,00	17	39.158,92	2016	330,21	SIM	1.714.650,23	0,00	0,00
2	18/03/1996	09	39	37	49	43	41	0,00	1		PR	2.307.162,23	65	14.424,02	4488	208,91	NÃO	0,00	0,00	0,00
3	25/03/1996	36	30	10	11	29	47	0,00	2		RN	391.192,51	62	10.515,93	4261	153,01	NÃO	0,00	0,00	0,00
3	25/03/1996	36	30	10	11	29	47	0,00	2		SP	391.192,51	62	10.515,93	4261	153,01	NÃO	0,00	0,00	0,00
4	01/04/1996	06	59	42	27	01	05	0,00	0	 	 	0,00	39	15.322,24	3311	180,48	SIM	717.080,75	0,00	0,00
5	08/04/1996	01	19	46	06	16	02	0,00	0	 	 	0,00	98	5.318,10	5399	96,53	SIM	1.342.488,85	0,00	0,00
6	15/04/1996	19	40	07	13	22	47	0,00	0	 	 	0,00	109	7.214,66	7147	110,03	SIM	2.286.166,33	0,00	0,00
7	22/04/1996	56	38	21	20	03	05	0,00	0	 	 	0,00	100	8.746,05	5736	152,48	SIM	3.335.692,28	0,00	0,00
8	29/04/1996	53	17	38	04	47	37	0,00	0	 	 	0,00	60	16.084,11	5262	183,40	SIM	4.493.748,19	0,00	0,00
9	06/05/1996	55	43	56	54	08	60	0,00	0	 	 	0,00	17	60.043,79	2175	469,31	SIM	5.718.641,49	0,00	0,00
10	13/05/1996	25	04	18	57	21	38	0,00	0	 	 	0,00	251	6.638,45	12590	132,35	SIM	13.334.769,81	0,00	0,00
11	20/05/1996	25	15	58	37	59	38	0,00	1		RJ	15.591.365,07	148	12.706,05	9442	199,16	NÃO	0,00	0,00	0,00
12	27/05/1996	20	27	43	16	19	04	0,00	0	 	 	0,00	108	6.791,17	6454	113,64	SIM	880.136,24	0,00	0,00
13	03/06/1996	47	32	50	54	18	56	0,00	0	 	 	0,00	43	20.543,98	2934	301,09	SIM	1.940.205,35	0,00	0,00
14	10/06/1996	16	02	27	47	23	53	0,00	0	 	 	0,00	85	10.458,19	5323	167,00	SIM	3.006.941,32	0,00	0,00
15	17/06/1996	60	12	33	52	35	51	0,00	0	 	 	0,00	57	17.919,89	3931	259,84	SIM	4.232.661,35	0,00	0,00
16	24/06/1996	60	58	49	32	20	34	0,00	0	 	 	0,00	31	33.307,13	3250	317,70	SIM	5.471.686,62	0,00	0,00
17	01/07/1996	10	20	06	19	51	13	0,00	1		SP	6.789.869,08	144	7.628,37	9376	117,16	NÃO	0,00	0,00	0,00
18	08/07/1996	37	36	56	27	42	23	0,00	0	 	 	0,00	52	13.763,52	4484	159,61	SIM	858.843,48	0,00	0,00
19	15/07/1996	05	25	12	10	60	24	0,00	0	 	 	0,00	159	5.380,14	9250	92,48	SIM	10.506.266,73	0,00	0,00
20	22/07/1996	25	28	30	33	51	11	0,00	0	 	 	0,00	72	15.486,97	5728	194,67	SIM	11.844.340,83	0,00	0,00
21	29/07/1996	49	46	06	53	33	36	0,00	0	 	 	0,00	63	17.694,19	5030	221,62	SIM	13.182.021,44	0,00	0,00
22	05/08/1996	09	38	56	01	31	46	0,00	0	 	 	0,00	47	27.212,90	4865	262,90	SIM	14.716.828,84	0,00	0,00
23	12/08/1996	17	52	51	59	39	37	0,00	0	 	 	0,00	74	20.198,46	4897	305,23	SIM	16.510.452,00	0,00	0,00
24	19/08/1996	01	08	14	28	33	43	0,00	1	 	 	18.661.679,61	227	7.897,31	13486	132,93	NÃO	0,00	0,00	0,00
25	25/08/1996	56	50	55	54	24	43	0,00	0	 	 	0,00	28	26.338,50	2741	269,06	SIM	884.973,50	0,00	0,00
26	01/09/1996	50	53	57	10	58	22	0,00	0	 	 	0,00	16	52.473,74	1823	460,55	SIM	1.892.469,30	0,00	0,00
27	08/09/1996	44	33	13	51	17	20	0,00	0	 	 	0,00	99	9.306,24	6466	142,49	SIM	2.998.050,68	0,00	0,00
28	15/09/1996	60	06	22	03	24	54	0,00	0	 	 	0,00	50	19.749,22	4895	201,73	SIM	4.183.003,48	0,00	0,00
